0: {wait: 0.0, buy: 0.0} => [wait, buy]
(10, 14): {wait: 14.0, buy: 14.0} => [wait, buy]
(10, 15): {wait: 15.0, buy: 15.0} => [wait, buy]
(10, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(10, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(10, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(10, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(10, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(10, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(10, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(10, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(10, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(10, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(10, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(10, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(10, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(10, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(10, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(10, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(10, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(10, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(10, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(10, 35): {wait: 35.0, buy: 35.0} => [wait, buy]
(10, 36): {wait: 36.0, buy: 36.0} => [wait, buy]
(10, 37): {wait: 37.0, buy: 37.0} => [wait, buy]
(10, 38): {wait: 38.0, buy: 38.0} => [wait, buy]
(10, 39): {wait: 39.0, buy: 39.0} => [wait, buy]
(10, 40): {wait: 40.0, buy: 40.0} => [wait, buy]
(10, 41): {wait: 41.0, buy: 41.0} => [wait, buy]
(10, 42): {wait: 42.0, buy: 42.0} => [wait, buy]
(10, 43): {wait: 43.0, buy: 43.0} => [wait, buy]
(10, 44): {wait: 44.0, buy: 44.0} => [wait, buy]
(10, 45): {wait: 45.0, buy: 45.0} => [wait, buy]
(10, 46): {wait: 46.0, buy: 46.0} => [wait, buy]
(10, 47): {wait: 47.0, buy: 47.0} => [wait, buy]
(10, 48): {wait: 48.0, buy: 48.0} => [wait, buy]
(10, 49): {wait: 49.0, buy: 49.0} => [wait, buy]
(10, 50): {wait: 50.0, buy: 50.0} => [wait, buy]
(10, 51): {wait: 51.0, buy: 51.0} => [wait, buy]
(10, 52): {wait: 52.0, buy: 52.0} => [wait, buy]
(11, 0): {wait: 0.46875, buy: 0.0} => [buy]
(11, 1): {wait: 1.125, buy: 1.0} => [buy]
(11, 2): {wait: 2.015625, buy: 2.0} => [buy]
(11, 3): {wait: 3.0, buy: 3.0} => [wait, buy]
(11, 4): {wait: 4.0, buy: 4.0} => [wait, buy]
(11, 5): {wait: 5.0, buy: 5.0} => [wait, buy]
(11, 6): {wait: 6.0, buy: 6.0} => [wait, buy]
(11, 7): {wait: 7.0, buy: 7.0} => [wait, buy]
(11, 8): {wait: 8.0, buy: 8.0} => [wait, buy]
(11, 9): {wait: 9.0, buy: 9.0} => [wait, buy]
(11, 10): {wait: 10.0, buy: 10.0} => [wait, buy]
(11, 11): {wait: 11.0, buy: 11.0} => [wait, buy]
(11, 12): {wait: 12.0, buy: 12.0} => [wait, buy]
(11, 13): {wait: 13.0, buy: 13.0} => [wait, buy]
(11, 14): {wait: 14.0, buy: 14.0} => [wait, buy]
(11, 15): {wait: 15.0, buy: 15.0} => [wait, buy]
(11, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(11, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(11, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(11, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(11, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(11, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
