0: {'wait': 0.0, 'buy': 0.0} => wait
(9, 14): {'wait': 16.2, 'buy': 14.0} => buy
(9, 15): {'wait': 16.999999999999996, 'buy': 15.0} => buy
(9, 16): {'wait': 17.8, 'buy': 16.0} => buy
(9, 17): {'wait': 18.599999999999998, 'buy': 17.0} => buy
(9, 18): {'wait': 19.400000000000002, 'buy': 18.0} => buy
(9, 19): {'wait': 20.2, 'buy': 19.0} => buy
(9, 20): {'wait': 21.000000000000004, 'buy': 20.0} => buy
(9, 21): {'wait': 21.8, 'buy': 21.0} => buy
(9, 22): {'wait': 22.599999999999998, 'buy': 22.0} => buy
(9, 23): {'wait': 23.400000000000002, 'buy': 23.0} => buy
(9, 24): {'wait': 24.2, 'buy': 24.0} => buy
(9, 25): {'wait': 25.0, 'buy': 25.0} => wait
(9, 26): {'wait': 25.8, 'buy': 26.0} => wait
(9, 27): {'wait': 26.599999999999998, 'buy': 27.0} => wait
(9, 28): {'wait': 27.4, 'buy': 28.0} => wait
(9, 29): {'wait': 28.2, 'buy': 29.0} => wait
(9, 30): {'wait': 29.0, 'buy': 30.0} => wait
(9, 31): {'wait': 29.8, 'buy': 31.0} => wait
(9, 32): {'wait': 30.6, 'buy': 32.0} => wait
(9, 33): {'wait': 31.4, 'buy': 33.0} => wait
(9, 34): {'wait': 32.2, 'buy': 34.0} => wait
(9, 35): {'wait': 33.0, 'buy': 35.0} => wait
(9, 36): {'wait': 33.8, 'buy': 36.0} => wait
(9, 37): {'wait': 34.599999999999994, 'buy': 37.0} => wait
(9, 38): {'wait': 35.400000000000006, 'buy': 38.0} => wait
(9, 39): {'wait': 36.2, 'buy': 39.0} => wait
(9, 40): {'wait': 37.00000000000001, 'buy': 40.0} => wait
(9, 41): {'wait': 37.8, 'buy': 41.0} => wait
(9, 42): {'wait': 38.6, 'buy': 42.0} => wait
(9, 43): {'wait': 39.400000000000006, 'buy': 43.0} => wait
(9, 44): {'wait': 40.199999999999996, 'buy': 44.0} => wait
(9, 45): {'wait': 40.99999999999999, 'buy': 45.0} => wait
(9, 46): {'wait': 41.8, 'buy': 46.0} => wait
(9, 47): {'wait': 42.6, 'buy': 47.0} => wait
(9, 48): {'wait': 43.39999999999999, 'buy': 48.0} => wait
(9, 49): {'wait': 44.199999999999996, 'buy': 49.0} => wait
(9, 50): {'wait': 45.0, 'buy': 50.0} => wait
(9, 51): {'wait': 46.0, 'buy': 51.0} => wait
(9, 52): {'wait': 47.0, 'buy': 52.0} => wait
(9, 53): {'wait': 48.0, 'buy': 53.0} => wait
(9, 54): {'wait': 49.0, 'buy': 54.0} => wait
(9, 55): {'wait': 50.0, 'buy': 55.0} => wait
(9, 56): {'wait': 51.0, 'buy': 56.0} => wait
(9, 57): {'wait': 52.0, 'buy': 57.0} => wait
(9, 58): {'wait': 53.0, 'buy': 58.0} => wait
(9, 59): {'wait': 54.0, 'buy': 59.0} => wait
(9, 60): {'wait': 55.0, 'buy': 60.0} => wait
(9, 61): {'wait': 56.0, 'buy': 61.0} => wait
(9, 62): {'wait': 57.0, 'buy': 62.0} => wait
(9, 63): {'wait': 58.0, 'buy': 63.0} => wait
(9, 64): {'wait': 59.0, 'buy': 64.0} => wait
